t, days	M, rad	E, rad	Phi, rad	
304	2.78038	2.81072	2.83984
305	2.78953	2.81912	2.84752
306	2.79867	2.82753	2.85521
307	2.80782	2.83592	2.86289
308	2.81697	2.84432	2.87056
309	2.82611	2.85272	2.87823
310	2.83526	2.86111	2.8859
311	2.8444	2.8695	2.89357
312	2.85355	2.87789	2.90123
313	2.8627	2.88628	2.90889
314	2.87184	2.89467	2.91655
315	2.88099	2.90305	2.92421
316	2.89013	2.91144	2.93186
317	2.89928	2.91982	2.93951
318	2.90843	2.9282	2.94716
319	2.91757	2.93658	2.9548
320	2.92672	2.94496	2.96245
321	2.93586	2.95334	2.97009
322	2.94501	2.96172	2.97773
323	2.95416	2.97009	2.98536
324	2.9633	2.97847	2.993
325	2.97245	2.98684	3.00063
326	2.98159	2.99522	3.00826
327	2.99074	3.00359	3.01589
328	2.99989	3.01196	3.02352
329	3.00903	3.02033	3.03115
330	3.01818	3.0287	3.03877
331	3.02732	3.03707	3.0464
332	3.03647	3.04544	3.05402
333	3.04562	3.0538	3.06164
334	3.05476	3.06217	3.06927
335	3.06391	3.07054	3.07689
336	3.07305	3.0789	3.08451
337	3.0822	3.08727	3.09213
338	3.09135	3.09564	3.09974
339	3.10049	3.104	3.10736
340	3.10964	3.11237	3.11498
341	3.11878	3.12073	3.1226
342	3.12793	3.1291	3.13021
343	3.13708	3.13746	3.13783
344	3.14622	3.14583	3.14544
345	3.15537	3.15419	3.15306
346	3.16451	3.16256	3.16068
347	3.17366	3.17092	3.16829
348	3.1828	3.17929	3.17591
349	3.19195	3.18765	3.18353
350	3.2011	3.19602	3.19115
351	3.21024	3.20438	3.19877
352	3.21939	3.21275	3.20639
353	3.22853	3.22112	3.21401
354	3.23768	3.22948	3.22163
355	3.24683	3.23785	3.22925
356	3.25597	3.24622	3.23687
357	3.26512	3.25459	3.2445
358	3.27426	3.26296	3.25212
359	3.28341	3.27133	3.25975
360	3.29256	3.2797	3.26738
361	3.3017	3.28807	3.27501
362	3.31085	3.29644	3.28264
363	3.31999	3.30482	3.29027
364	3.32914	3.31319	3.29791
365	3.33829	3.32157	3.30555
366	3.34743	3.32995	3.31319
367	3.35658	3.33832	3.32083
368	3.36572	3.3467	3.32847
369	3.37487	3.35508	3.33611
370	3.38402	3.36346	3.34376
371	3.39316	3.37185	3.35141
372	3.40231	3.38023	3.35907
373	3.41145	3.38862	3.36672
374	3.4206	3.39701	3.37438
375	3.42975	3.40539	3.38204
376	3.43889	3.41378	3.3897
377	3.44804	3.42218	3.39737
378	3.45718	3.43057	3.40504
379	3.46633	3.43897	3.41271
380	3.47548	3.44736	3.42039
381	3.48462	3.45576	3.42807
382	3.49377	3.46416	3.43575
383	3.50291	3.47257	3.44344
384	3.51206	3.48097	3.45112
385	3.52121	3.48938	3.45882
386	3.53035	3.49779	3.46652
387	3.5395	3.5062	3.47422
388	3.54864	3.51461	3.48192
389	3.55779	3.52302	3.48963
390	3.56694	3.53144	3.49734
391	3.57608	3.53986	3.50506
392	3.58523	3.54828	3.51278
393	3.59437	3.55671	3.52051
394	3.60352	3.56514	3.52824
395	3.61267	3.57357	3.53598
396	3.62181	3.582	3.54372
397	3.63096	3.59043	3.55146
398	3.6401	3.59887	3.55921
399	3.64925	3.60731	3.56697
400	3.6584	3.61575	3.57473
401	3.66754	3.6242	3.58249
402	3.67669	3.63265	3.59026
403	3.68583	3.6411	3.59804
404	3.69498	3.64955	3.60582
405	3.70413	3.65801	3.6136
406	3.71327	3.66647	3.6214
407	3.72242	3.67494	3.6292
408	3.73156	3.6834	3.637
